"predvar","matRRfit","matRRlow","matRRhigh","allRRfit","knots"
2.9,1.00809605526028,0.995393249464459,1.02096096912261,1.00809605526028,NA
3,1.00742606923866,0.994765245522751,1.02024803294,1.00742606923866,NA
3.1,1.00676629972764,0.994146467652522,1.01954632968787,1.00676629972764,NA
3.2,1.00611672723355,0.99353700683732,1.01885572641272,1.00611672723355,NA
3.3,1.00547733257223,0.992936948971796,1.01817609603859,1.00547733257223,NA
3.4,1.00484809686803,0.992346374766354,1.01750731745964,1.00484809686803,NA
3.5,1.00422900155294,0.991765359661634,1.01684927562309,1.00422900155294,NA
3.6,1.00362002836561,0.991193973751567,1.01620186160357,1.00362002836561,NA
3.7,1.00302115935052,0.99063228171379,1.01556497267017,1.00302115935052,NA
3.8,1.00243237685704,0.990080342746191,1.01493851234744,1.00243237685704,NA
3.9,1.00185366353862,0.989538210508428,1.01432239047146,1.00185366353862,NA
4,1.00128500235188,0.989005933067265,1.01371652324216,1.00128500235188,NA
4.1,1.00072637655582,0.988483552844645,1.01312083327291,1.00072637655582,NA
4.2,1.00017776971095,0.987971106567475,1.01253524963855,1.00017776971095,NA
4.3,0.99963916567855,0.987468625218146,1.01195970792262,0.99963916567855,NA
4.4,0.999110548619818,0.986976133984893,1.01139415026491,0.999110548619818,NA
4.5,0.998591902995125,0.986493652211176,1.01083852540995,0.998591902995125,NA
4.6,0.998083213563246,0.986021193343323,1.01029278875741,0.998083213563246,NA
4.7,0.997584465380613,0.985558764875787,1.00975690241479,0.997584465380613,NA
4.8,0.997095643800585,0.985106368293448,1.00923083525326,0.997095643800585,NA
4.9,0.99661673447273,0.98466399901047,1.0087145629669,0.99661673447273,NA
5,0.996147723342123,0.984231646305346,1.00820806813587,0.996147723342123,NA
5.1,0.995688596648658,0.983809293251874,1.00771134029363,0.995688596648658,NA
5.2,0.995239340926378,0.983396916645891,1.00722437599857,0.995239340926378,NA
5.3,0.994799943002813,0.982994486927743,1.00674717890981,0.994799943002813,NA
5.4,0.994370389998338,0.982601968100596,1.00627975986734,0.994370389998338,NA
5.5,0.993950669325544,0.982219317644818,1.00582213697608,0.993950669325544,NA
5.6,0.993540768688624,0.981846486428826,1.0053743356935,0.993540768688624,NA
5.7,0.993140676082771,0.98148341861695,1.00493638892038,0.993140676082771,NA
5.8,0.992750379793592,0.981130051575039,1.00450833709372,0.992750379793592,NA
5.9,0.992369868396538,0.980786315774726,1.00409022828124,0.992369868396538,NA
6,0.991999130756345,0.980452134697457,1.00368211827597,0.991999130756345,NA
6.1,0.991638156026492,0.980127424739613,1.00328407068996,0.991638156026492,NA
6.2,0.991286933648673,0.979812095120278,1.00289615704526,0.991286933648673,NA
6.3,0.990945453352279,0.979506047793439,1.00251845686065,0.990945453352279,NA
6.4,0.9906137051539,0.979209177366662,1.00215105773185,0.9906137051539,NA
6.5,0.990291679356838,0.978921371028532,1.00179405540305,0.990291679356838,NA
6.6,0.989979366550637,0.978642508487427,1.00144755382715,0.989979366550637,NA
6.7,0.989676757610618,0.978372461924449,1.00111166521191,0.989676757610618,NA
6.8,0.989383843697442,0.978111095963602,1.00078651004891,0.989383843697442,NA
6.9,0.989100616256677,0.977858267662569,1.00047221712189,0.989100616256677,NA
7,0.988827067018379,0.977613826527654,1.00016892349109,0.988827067018379,NA
7.1,0.988563187996693,0.977377614556711,0.999876774449576,0.988563187996693,NA
7.2,0.988308971489464,0.977149466313998,0.999595923447695,0.988308971489464,NA
7.3,0.988064410077861,0.976929209041083,0.999326531981558,0.988064410077861,NA
7.4,0.987829496626017,0.976716662807952,0.999068769441357,0.987829496626017,NA
7.5,0.98760422428068,0.97651164070848,0.998822812915366,0.98760422428068,NA
7.6,0.987388586470884,0.976313949104331,0.998588846945571,0.987388586470884,NA
7.7,0.987182576907626,0.97612338792114,0.998367063231059,0.987182576907626,NA
7.8,0.98698618958356,0.975939751000523,0.998157660275642,0.98698618958356,NA
7.9,0.986799418772709,0.975762826511001,0.997960842976608,0.986799418772709,NA
8,0.986622259030183,0.975592397420328,0.997776822152118,0.986622259030183,NA
8.1,0.986454220269223,0.975428258258651,0.99760481660039,0.986454220269223,NA
8.2,0.986293156205361,0.975270470383422,0.997440422445163,0.986293156205361,NA
8.3,0.986138809715914,0.975119311238957,0.997282835874032,0.986138809715914,NA
8.4,0.985991177655204,0.974975054133281,0.997131771005289,0.985991177655204,NA
8.5,0.985850257014704,0.974837961471578,0.996986953389479,0.985850257014704,NA
8.6,0.985716044922938,0.974708284869337,0.996848119895453,0.985716044922938,NA
8.7,0.98558853864538,0.974586265319076,0.996715018542877,0.98558853864538,NA
8.8,0.985467735584361,0.974472133402039,0.996587408289798,0.985467735584361,NA
8.9,0.985353633278985,0.974366109536957,0.996465058783194,0.985353633278985,NA
9,0.98524622940504,0.974268404258619,0.996347750079736,0.98524622940504,NA
9.1,0.985145521774924,0.974179218519745,0.996235272343286,0.985145521774924,NA
9.2,0.985051508337567,0.974098744010333,0.996127425524966,0.985051508337567,NA
9.3,0.984964187178364,0.974027163489322,0.996024019030934,0.984964187178364,NA
9.4,0.984883556519107,0.973964651124052,0.995924871382399,0.984883556519107,NA
9.5,0.984809614717929,0.97391137283362,0.995829809871787,0.984809614717929,NA
9.6,0.984742360269243,0.973867486632728,0.995738670218433,0.984742360269243,NA
9.7,0.984681791803697,0.97383314297318,0.995651296226671,0.984681791803697,NA
9.8,0.984627908088122,0.97380848508057,0.995567539448764,0.984627908088122,NA
9.9,0.984580708025492,0.97379364928416,0.995487258854676,0.984580708025492,NA
10,0.98454019065489,0.973788765338249,0.995410320510393,0.98454019065489,NA
10.1,0.984506355151469,0.973793956733672,0.995336597266147,0.984506355151469,NA
10.2,0.984479200826429,0.973809340998306,0.995265968455658,0.984479200826429,NA
10.3,0.984458727126994,0.973835029985712,0.995198319607297,0.984458727126994,NA
10.4,0.98444493363639,0.973871130151179,0.995133542167856,0.98444493363639,NA
10.5,0.98443782007383,0.973917742814649,0.995071533239489,0.98443782007383,NA
10.6,0.984437386294512,0.973974964410051,0.995012195330273,0.984437386294512,NA
10.7,0.984443632289603,0.97404288672072,0.994955436118716,0.984443632289603,NA
10.8,0.98445655818625,0.974121597100597,0.994901168232526,0.98445655818625,NA
10.9,0.984476164247575,0.974211178680948,0.994849309041881,0.984476164247575,NA
11,0.98450245087269,0.974311710562374,0.994799780467468,0.98450245087269,NA
11.1,0.984535418596707,0.974423267991808,0.994752508803537,0.984535418596707,NA
11.2,0.984575068090758,0.974545922524217,0.994707424556313,0.984575068090758,NA
11.3,0.984621400162018,0.974679742168604,0.994664462298128,0.984621400162018,NA
11.4,0.984674415753731,0.97482479151783,0.994623560537767,0.984674415753731,NA
11.5,0.984734115945242,0.974981131861637,0.994584661607658,0.984734115945242,NA
11.6,0.984800501952036,0.97514882128208,0.994547711568673,0.984800501952036,NA
11.7,0.984873575125776,0.975327914730372,0.994512660133568,0.984873575125776,NA
11.8,0.984953336954351,0.975518464083867,0.9944794606103,0.984953336954351,NA
11.9,0.985039789061927,0.975720518181616,0.994448069866825,0.985039789061927,NA
12,0.985132933208999,0.975934122836486,0.994418448319352,0.985132933208999,NA
12.1,0.985232771292454,0.976159320821396,0.994390559946526,0.985232771292454,NA
12.2,0.985339305345634,0.976396151826584,0.994364372332609,0.985339305345634,NA
12.3,0.985452537538404,0.976644652384086,0.994339856743482,0.985452537538404,NA
12.4,0.98557247017723,0.976904855754703,0.994316988240203,0.98557247017723,NA
12.5,0.985699105705251,0.977176791771535,0.994295745836023,0.985699105705251,NA
12.6,0.985832446702365,0.977460486632757,0.994276112704199,0.985832446702365,NA
12.7,0.985972495885321,0.977755962634441,0.994258076445797,0.985972495885321,NA
12.8,0.986119256107801,0.978063237831928,0.994241629428982,0.986119256107801,NA
12.9,0.986272730360526,0.978382325615248,0.994226769214286,0.986272730360526,NA
13,0.986432921771356,0.978713234180278,0.994213499084186,0.986432921771356,NA
13.1,0.986599833605391,0.979055965872333,0.994201828700273,0.986599833605391,NA
13.2,0.986773469265088,0.979410516372402,0.994191774917821,0.986773469265088,NA
13.3,0.986953832290375,0.979776873687692,0.994183362796077,0.986953832290375,NA
13.4,0.987140926358766,0.980155016896817,0.99417662685394,0.987140926358766,NA
13.5,0.987334755285497,0.980544914584825,0.994171612635845,0.987334755285497,NA
13.6,0.987535323023643,0.980946522882839,0.994168378673064,0.987535323023643,NA
13.7,0.987742633664263,0.981359782999333,0.994166998953408,0.987742633664263,NA
13.8,0.987956691436532,0.981784618091986,0.994167566050387,0.987956691436532,NA
13.9,0.988177500707888,0.98222092927632,0.994170195115623,0.988177500707888,NA
14,0.98840506598418,0.982668590493635,0.994175029012,0.98840506598418,NA
14.1,0.988639391909821,0.983127441856733,0.994182244969065,0.988639391909821,NA
14.2,0.988880483267946,0.9835972809438,0.994192063290302,0.988880483267946,NA
14.3,0.989128344980576,0.984077851297901,0.994204758854835,0.989128344980576,NA
14.4,0.989383371177253,0.984568444965488,0.994221844268409,0.989383371177253,NA
14.5,0.989648937401901,0.985065548441953,0.99425365230751,0.989648937401901,NA
14.6,0.989925831094729,0.985568529426398,0.994302396849992,0.989925831094729,NA
14.7,0.990214061722969,0.986077562298025,0.994367913360505,0.990214061722969,NA
14.8,0.990513639143347,0.986592830905795,0.994450029023857,0.990513639143347,NA
14.9,0.990824573602638,0.987114528794604,0.994548562519563,0.990824573602638,NA
15,0.991146875738255,0.987642859390423,0.994663323837554,0.991146875738255,NA
15.1,0.991480556578853,0.988178036137803,0.994794114141622,0.991480556578853,NA
15.2,0.991825627544962,0.988720282583185,0.994940725687189,0.991825627544962,NA
15.3,0.99218210044963,0.989269832397598,0.995102941799796,0.99218210044963,NA
15.4,0.992549987499108,0.989826929332756,0.995280536920303,0.992549987499108,NA
15.5,0.992929301293539,0.990391827105129,0.995473276722246,0.992929301293539,NA
15.6,0.993320054827677,0.990964789203378,0.995680918305928,0.993320054827677,NA
15.7,0.993722261491635,0.991546088615587,0.995903210472839,0.993722261491635,NA
15.8,0.994135935071644,0.992136007473975,0.996139894082713,0.994135935071644,NA
15.9,0.994561089750843,0.992734836616184,0.996390702494118,0.994561089750843,NA
16,0.994997740110089,0.993342875063873,0.996655362087863,0.994997740110089,NA
16.1,0.99544590112879,0.993960429421035,0.996933592870793,0.99544590112879,NA
16.2,0.995905588185764,0.994587813196246,0.997225109155777,0.995905588185764,NA
16.3,0.996376817060113,0.995225346054834,0.997529620311885,0.996376817060113,NA
16.4,0.996859603932133,0.995873353008639,0.997846831577095,0.996859603932133,NA
16.5,0.997353965384233,0.996532163552654,0.998176444924244,0.997353965384233,NA
16.6,0.997859918401889,0.997202110759146,0.998518159969601,0.997859918401889,NA
16.7,0.998377480374615,0.997883530341007,0.998871674912344,0.998377480374615,NA
16.8,0.998906669096958,0.998576759696852,0.999236687492403,0.998906669096958,NA
16.9,0.99944750276952,0.9992821369508,0.999612895953739,0.99944750276952,NA
17,1,1,1,1,NA
17.1,1.00056417980426,1.00039770172986,1.00073068558259,1.00056417980426,NA
17.2,1.00114006160742,1.00080570653996,1.00147452837818,1.00114006160742,NA
17.3,1.00172766524496,1.00122372398431,1.00223186015201,1.00172766524496,NA
17.4,1.00232701096388,1.00165146858037,1.00300300895248,1.00232701096388,NA
17.5,1.00293811942385,1.00208866055335,1.00378829837072,1.00293811942385,NA
17.6,1.00356101169838,1.00253502651196,1.00458804686867,1.00356101169838,NA
17.7,1.00419570927608,1.00299030005055,1.00540256718103,1.00419570927608,NA
17.8,1.00484223406184,1.00345422227418,1.0062321657943,1.00484223406184,NA
17.9,1.00550060837811,1.00392654224504,1.0070771425047,1.00550060837811,NA
18,1.00617085496621,1.00440701734989,1.00793779005506,1.00617085496621,NA
18.1,1.00685299698761,1.00489541359001,1.00881439384949,1.00685299698761,NA
18.2,1.00754705802527,1.00539150579608,1.00970723174308,1.00754705802527,NA
18.3,1.00825306208498,1.00589507777164,1.01061657390328,1.00825306208498,NA
18.4,1.00897103359681,1.00640592236962,1.01154268273824,1.00897103359681,NA
18.5,1.00970099741643,1.0069238415071,1.01248581288712,1.00970099741643,NA
18.6,1.01044297882661,1.00744864612385,1.01344621126671,1.01044297882661,NA
18.7,1.01119700353865,1.00798015609057,1.01442411716849,1.01119700353865,NA
18.8,1.01196309769386,1.00851820007274,1.01541976240022,1.01196309769386,NA
18.9,1.01274128786511,1.00906261535616,1.01643337146592,1.01274128786511,NA
19,1.01353160105831,1.00961324763981,1.01746516177877,1.01353160105831,NA
19.1,1.01433406471402,1.01016995080169,1.01851534390102,1.01433406471402,NA
19.2,1.01514870670899,1.01073258664282,1.01958412180601,1.01514870670899,NA
19.3,1.01597555535783,1.01130102461418,1.02067169315728,1.01597555535783,NA
19.4,1.0168146394146,1.01187514153108,1.02177824960046,1.0168146394146,NA
19.5,1.01766598807452,1.01245482127889,1.02290397706389,1.01766598807452,NA
19.6,1.01852963097561,1.01303995451365,1.02404905606449,1.01852963097561,NA
19.7,1.01940559820046,1.01363043836075,1.02521366201574,1.01940559820046,NA
19.8,1.02029392027796,1.01422617611428,1.02639796553512,1.02029392027796,NA
19.9,1.02120644202915,1.01484248284341,1.02761030886284,1.02120644202915,NA
20,1.02221549577897,1.01557368796984,1.02890074072268,1.02221549577897,NA
20.1,1.02333364690147,1.01643623121697,1.03027786763055,1.02333364690147,NA
20.2,1.0245612511199,1.01743038548319,1.03174209486366,1.0245612511199,NA
20.3,1.02589869927567,1.01855624559442,1.03329408241103,1.02589869927567,NA
20.4,1.02734641753577,1.01981375255859,1.03493472114452,1.02734641753577,NA
20.5,1.02890486761907,1.02120270431299,1.0366651225453,1.02890486761907,NA
20.6,1.0305745470418,1.02272275651455,1.03848661843606,1.0305745470418,NA
20.7,1.0323559893822,1.02437341558263,1.04040076850992,1.0323559893822,NA
20.8,1.03424976456477,1.02615402541252,1.04240937423821,1.03424976456477,NA
20.9,1.03625647916414,1.02806374874205,1.04451449817544,1.03625647916414,NA
21,1.03837677672886,1.03010154397372,1.04671848785941,1.03837677672886,NA
21.1,1.04061133812538,1.03226613828561,1.04902400347407,1.04061133812538,NA
21.2,1.04296088190244,1.03455599809227,1.05143404821446,1.04296088190244,NA
21.3,1.04542616467614,1.03696929834649,1.05395199986364,1.04542616467614,NA
21.4,1.04800798153602,1.03950389280696,1.05658164145727,1.04800798153602,NA
21.5,1.05070716647235,1.0421572882229,1.05932718808587,1.05070716647235,NA
21.6,1.05352459282515,1.0449266263447,1.06219330592622,1.05352459282515,NA
21.7,1.05646117375505,1.04780867862693,1.0651851186368,1.05646117375505,NA
21.8,1.05951786273646,1.05079985920559,1.06830819553622,1.05951786273646,NA
21.9,1.06269565407352,1.05389626185223,1.07156851586318,1.06269565407352,NA
22,1.06599558343896,1.05709372570085,1.07497240432296,1.06599558343896,NA
22.1,1.06941872843654,1.06038793221792,1.07852643545154,1.06941872843654,NA
22.2,1.07296620918738,1.06377453199104,1.08223730822278,1.07296620918738,NA
22.3,1.07663918894056,1.0672492947808,1.08611169745553,1.07663918894056,NA
22.4,1.08043887470868,1.07080827087793,1.09015609397999,1.08043887470868,NA
22.5,1.08436651792852,1.07444794762202,1.09437664970818,1.08436651792852,NA
22.6,1.08842341514771,1.07816538352133,1.09877904517083,1.08842341514771,NA
22.7,1.0926109087376,1.08195830469089,1.10336839480469,1.0926109087376,NA
22.8,1.09693038763301,1.08582515404157,1.10814919955948,1.09693038763301,NA
22.9,1.10138328809955,1.08976509131795,1.11312534872808,1.10138328809955,NA
23,1.10597109452885,1.09377794955997,1.11830016542702,1.10597109452885,NA
23.1,1.11069534026249,1.09786415895465,1.12367648476241,1.11069534026249,NA
23.2,1.11555760844529,1.10202465139323,1.12925675136836,1.11555760844529,NA
23.3,1.12055953290848,1.10626075849867,1.13504312355448,1.12055953290848,NA
23.4,1.1257027990836,1.11057411335232,1.14103757383605,1.1257027990836,NA
23.5,1.13098914494767,1.11496656276879,1.14724197899979,1.13098914494767,NA
23.6,1.13642036200058,1.11944009369312,1.15365819613351,1.13642036200058,NA
23.7,1.14199829627528,1.12399677467883,1.16028812366325,1.14199829627528,NA
23.8,1.14772484938166,1.12863871163655,1.16713374821078,1.14772484938166,NA
23.9,1.15360197958496,1.13336801605289,1.1741971790743,1.15360197958496,NA
24,1.15963170291951,1.13818678348615,1.18148067252826,1.15963170291951,NA
24.1,1.16581609433866,1.14309708014455,1.18898664813945,1.16581609433866,NA
24.2,1.172157288902,1.14810093557193,1.19671769907725,1.172157288902,NA
24.3,1.17865748300049,1.15320033977982,1.20467659808208,1.17865748300049,NA
24.4,1.18531893562089,1.1583972434961,1.21286630042484,1.18531893562089,NA
24.5,1.1921439696501,1.16369356050511,1.22128994488568,1.1921439696501,NA
24.6,1.19913497322078,1.16909117131395,1.22995085352079,1.19913497322078,NA
24.7,1.20629440109917,1.1745919275893,1.23885253077611,1.20629440109917,NA
24.8,1.21362477611623,1.18019765697287,1.24799866234357,1.21362477611623,NA
24.9,1.22112869064342,1.18591016800697,1.25739311403201,1.22112869064342,NA
25,1.22880880811412,1.19173125499302,1.26703993083381,1.22880880811412,NA
25.1,1.23666786459206,1.19766270267168,1.27694333630253,1.23666786459206,NA
25.2,1.24470867038802,1.20370629065997,1.2871077323104,1.24470867038802,NA
