"blup_predvar","blup_matRRfit","arron","first_stage_predvar","first_stage_blup_matRRfit"
0.3,1.02460967560501,"Antwerpen",0.3,1.02421001815075
0.399999999999999,1.0243247673238,"Antwerpen",0.399999999999999,1.0239529967059
0.5,1.02399181319642,"Antwerpen",0.5,1.02364572002426
0.6,1.02361086012952,"Antwerpen",0.6,1.02328823339066
0.699999999999999,1.02318196177937,"Antwerpen",0.699999999999999,1.02288058947821
0.8,1.02270517853929,"Antwerpen",0.8,1.02242284833536
0.899999999999999,1.0221805775254,"Antwerpen",0.899999999999999,1.02191507737114
1,1.02160823256098,"Antwerpen",1,1.02135735133863
1.1,1.02098822415907,"Antwerpen",1.1,1.02074975231664
1.2,1.02032063950362,"Antwerpen",1.2,1.02009236968952
1.3,1.0196055724291,"Antwerpen",1.3,1.01938530012529
1.4,1.01884583293047,"Antwerpen",1.4,1.01863146233816
1.5,1.01807908502283,"Antwerpen",1.5,1.01786998356935
1.6,1.01731736534677,"Antwerpen",1.6,1.0171133688015
1.7,1.01656066347696,"Antwerpen",1.7,1.01636160803177
1.8,1.01580896906169,"Antwerpen",1.8,1.01561469132622
1.9,1.01506227182262,"Antwerpen",1.9,1.01487260881957
2,1.01432056155459,"Antwerpen",2,1.01413535071499
2.1,1.01358382812532,"Antwerpen",2.1,1.01340290728386
2.2,1.01285206147524,"Antwerpen",2.2,1.01267526886559
2.3,1.01212525161722,"Antwerpen",2.3,1.01195242586739
2.4,1.01140338863637,"Antwerpen",2.4,1.01123436876407
2.5,1.0106864626898,"Antwerpen",2.5,1.0105210880978
2.6,1.00997446400641,"Antwerpen",2.6,1.00981257447794
2.7,1.00926738288664,"Antwerpen",2.7,1.00910881858083
2.8,1.00856520970229,"Antwerpen",2.8,1.00840981114955
2.9,1.00786793489626,"Antwerpen",2.9,1.00771554299377
3,1.00717554898238,"Antwerpen",3,1.00702600498949
3.1,1.00648804254515,"Antwerpen",3.1,1.00634118807891
3.2,1.00580540623954,"Antwerpen",3.2,1.00566108327015
3.3,1.0051276307908,"Antwerpen",3.3,1.00498568163713
3.4,1.00445470699422,"Antwerpen",3.4,1.00431497431933
3.5,1.00378662571495,"Antwerpen",3.5,1.0036489525216
3.6,1.00312337788777,"Antwerpen",3.6,1.00298760751399
3.7,1.0024649545169,"Antwerpen",3.7,1.00233093063153
3.8,1.00181134667578,"Antwerpen",3.8,1.00167891327406
3.9,1.00116254550688,"Antwerpen",3.9,1.00103154690605
4,1.00051854222153,"Antwerpen",4,1.00038882305639
4.1,0.999879328099645,"Antwerpen",4.1,0.999750733318208
4.2,0.999244894489604,"Antwerpen",4.2,0.999117269348722
4.3,0.998615232808017,"Antwerpen",4.3,0.998488422869012
4.4,0.99799033453954,"Antwerpen",4.4,0.997864185663867
4.5,0.997370191236683,"Antwerpen",4.5,0.997244549581599
4.6,0.996754794519619,"Antwerpen",4.6,0.996629506533864
4.7,0.996144136075996,"Antwerpen",4.7,0.996019048495489
4.8,0.995538207660752,"Antwerpen",4.8,0.995413167504297
4.9,0.994937001095925,"Antwerpen",4.9,0.994811855660932
5,0.994340508270472,"Antwerpen",5,0.994215105128692
5.1,0.993748721140086,"Antwerpen",5.1,0.993622908133352
5.2,0.993161631727018,"Antwerpen",5.2,0.993035256963002
5.3,0.992579232119891,"Antwerpen",5.3,0.992452143967873
5.4,0.992001514473529,"Antwerpen",5.4,0.991873561560179
